Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score
NASDAQ-100 Open,2006-03-24,Masters,Outdoor,Hard,1st Round,3,Djokovic N.,Mathieu P.H.,Djokovic N.,66,37,596,853,2.0,1.72,6-1 6-3    
NASDAQ-100 Open,2006-03-24,Masters,Outdoor,Hard,2nd Round,3,Nadal R.,Moya C.,Moya C.,2,35,4890,900,1.16,4.5,6-2 1-6 1-6   
NASDAQ-100 Open,2006-03-25,Masters,Outdoor,Hard,2nd Round,3,Federer R.,Clement A.,Federer R.,1,53,6935,746,1.03,10.0,6-2 6-7 6-0   
NASDAQ-100 Open,2006-03-25,Masters,Outdoor,Hard,2nd Round,3,Djokovic N.,Coria G.,Coria G.,66,7,596,2025,1.66,2.1,5-7 1-6    
NASDAQ-100 Open,2006-03-28,Masters,Outdoor,Hard,3rd Round,3,Federer R.,Haas T.,Federer R.,1,28,6935,1250,1.12,5.5,6-1 6-3    
NASDAQ-100 Open,2006-03-28,Masters,Outdoor,Hard,4th Round,3,Tursunov D.,Federer R.,Federer R.,36,1,870,6935,9.0,1.04,3-6 3-6    
NASDAQ-100 Open,2006-03-31,Masters,Outdoor,Hard,Quarterfinals,3,Federer R.,Blake J.,Federer R.,1,9,6935,1880,1.1,6.5,7-6 6-4    
NASDAQ-100 Open,2006-04-01,Masters,Outdoor,Hard,Semifinals,3,Ferrer D.,Federer R.,Federer R.,11,1,1700,6935,12.0,1.03,1-6 4-6    
NASDAQ-100 Open,2006-04-02,Masters,Outdoor,Hard,The Final,5,Federer R.,Ljubicic I.,Federer R.,1,6,6935,2295,1.1,7.0,7-6 7-6 7-6   
Monte Carlo Masters,2006-04-17,Masters,Outdoor,Clay,1st Round,3,Djokovic N.,Federer R.,Federer R.,67,1,606,6810,8.5,1.05,3-6 6-2 3-6   
Monte Carlo Masters,2006-04-18,Masters,Outdoor,Clay,1st Round,3,Nadal R.,Clement A.,Nadal R.,2,56,4135,691,1.05,9.0,6-4 6-4    
Monte Carlo Masters,2006-04-19,Masters,Outdoor,Clay,2nd Round,3,Martin A.,Federer R.,Federer R.,66,1,622,6810,11.0,1.02,0-6 1-6    
Monte Carlo Masters,2006-04-19,Masters,Outdoor,Clay,2nd Round,3,Nadal R.,Lisnard J.R.,Nadal R.,2,154,4135,257,1.0,17.0,6-4 6-1    
Monte Carlo Masters,2006-04-20,Masters,Outdoor,Clay,3rd Round,3,Balleret B.,Federer R.,Federer R.,351,1,88,6810,15.0,1.01,3-6 2-6    
Monte Carlo Masters,2006-04-20,Masters,Outdoor,Clay,3rd Round,3,Nadal R.,Vliegen K.,Nadal R.,2,57,4135,679,1.03,10.0,6-3 6-3    
Monte Carlo Masters,2006-04-21,Masters,Outdoor,Clay,Quarterfinals,3,Coria G.,Nadal R.,Nadal R.,9,2,1690,4135,5.5,1.12,2-6 1-6    
Monte Carlo Masters,2006-04-21,Masters,Outdoor,Clay,Quarterfinals,3,Federer R.,Ferrer D.,Federer R.,1,15,6810,1485,1.1,6.5,6-1 6-3    
Monte Carlo Masters,2006-04-22,Masters,Outdoor,Clay,Semifinals,3,Gaudio G.,Nadal R.,Nadal R.,8,2,1865,4135,6.0,1.12,7-5 1-6 1-6   
Monte Carlo Masters,2006-04-22,Masters,Outdoor,Clay,Semifinals,3,Federer R.,Gonzalez F.,Federer R.,1,21,6810,1420,1.08,7.5,6-2 6-4    
Monte Carlo Masters,2006-04-23,Masters,Outdoor,Clay,The Final,5,Federer R.,Nadal R.,Nadal R.,1,2,6810,4135,1.72,2.1,2-6 7-6 4-6 6-7  
Open Seat Godo,2006-04-24,International Gold,Outdoor,Clay,1st Round,3,Gimeno-Traver D.,Djokovic N.,Gimeno-Traver D.,178,66,225,614,3.25,1.28,6-4 3-6 6-3   
Open Seat Godo,2006-04-26,International Gold,Outdoor,Clay,2nd Round,3,Lopez F.,Nadal R.,Nadal R.,38,2,850,4335,9.0,1.04,4-6 2-6    
Open Seat Godo,2006-04-27,International Gold,Outdoor,Clay,3rd Round,3,Nadal R.,Navarro-Pastor I.,Nadal R.,2,164,4335,244,1.01,12.0,6-4 6-2    
Open Seat Godo,2006-04-28,International Gold,Outdoor,Clay,Quarterfinals,3,Nieminen J.,Nadal R.,Nadal R.,20,2,1425,4335,11.0,1.02,6-4 4-6 3-6   
Open Seat Godo,2006-04-29,International Gold,Outdoor,Clay,Semifinals,3,Nadal R.,Almagro N.,Nadal R.,2,57,4335,669,1.12,5.5,7-6 6-3    
Open Seat Godo,2006-04-30,International Gold,Outdoor,Clay,The Final,5,Robredo T.,Nadal R.,Nadal R.,15,2,1525,4335,7.5,1.07,4-6 4-6 0-6   
Campionati Internazional d'Italia,2006-05-08,Masters,Outdoor,Clay,1st Round,3,Federer R.,Chela J.I.,Federer R.,1,30,7160,975,1.03,10.0,6-2 6-1    
Campionati Internazional d'Italia,2006-05-09,Masters,Outdoor,Clay,1st Round,3,Moya C.,Nadal R.,Nadal R.,33,2,920,4135,8.0,1.06,1-6 6-2 2-6   
Campionati Internazional d'Italia,2006-05-10,Masters,Outdoor,Clay,2nd Round,3,Federer R.,Starace P.,Federer R.,1,81,7160,497,1.01,12.0,6-3 7-6    
Campionati Internazional d'Italia,2006-05-10,Masters,Outdoor,Clay,2nd Round,3,Volandri F.,Nadal R.,Nadal R.,46,2,796,4135,7.5,1.07,1-6 2-6    
Campionati Internazional d'Italia,2006-05-11,Masters,Outdoor,Clay,3rd Round,3,Federer R.,Stepanek R.,Federer R.,1,18,7160,1420,1.03,10.0,6-1 6-4    
Campionati Internazional d'Italia,2006-05-11,Masters,Outdoor,Clay,3rd Round,3,Henman T.,Nadal R.,Nadal R.,70,2,570,4135,11.0,1.02,2-6 2-6    
Campionati Internazional d'Italia,2006-05-12,Masters,Outdoor,Clay,Quarterfinals,3,Federer R.,Almagro N.,Federer R.,1,54,7160,714,1.07,7.5,6-3 6-7 7-5   
Campionati Internazional d'Italia,2006-05-12,Masters,Outdoor,Clay,Quarterfinals,3,Gonzalez F.,Nadal R.,Nadal R.,9,2,1640,4135,7.5,1.07,4-6 3-6    
Campionati Internazional d'Italia,2006-05-13,Masters,Outdoor,Clay,Semifinals,3,Federer R.,Nalbandian D.,Federer R.,1,3,7160,2845,1.2,4.5,6-3 3-6 7-6   
Campionati Internazional d'Italia,2006-05-13,Masters,Outdoor,Clay,Semifinals,3,Monfils G.,Nadal R.,Nadal R.,35,2,904,4135,12.0,1.03,2-6 2-6    
Campionati Internazional d'Italia,2006-05-14,Masters,Outdoor,Clay,The Final,5,Nadal R.,Federer R.,Nadal R.,2,1,4135,7160,1.44,2.75,6-7 7-6 6-4 2-6 7-6 
Hamburg TMS,2006-05-15,Masters,Outdoor,Clay,1st Round,3,Coria G.,Djokovic N.,Djokovic N.,21,71,1345,577,2.0,1.72,3-6 6-3 3-6   
Hamburg TMS,2006-05-17,Masters,Outdoor,Clay,2nd Round,3,Verdasco F.,Djokovic N.,Verdasco F.,34,71,895,577,1.72,2.0,6-4 6-3    
French Open,2006-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Hartfield D.,Federer R.,Federer R.,157,1,265,7010,40.0,1.0110000000000001,5-7 6-7 2-6   
French Open,2006-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Nadal R.,Soderling R.,Nadal R.,2,50,4545,778,1.02,11.0,6-2 7-5 6-1   
French Open,2006-05-30,Grand Slam,Outdoor,Clay,1st Round,5,Horna L.,Djokovic N.,Djokovic N.,46,63,802,627,1.9,1.8,3-6 0-5    
French Open,2006-05-31,Grand Slam,Outdoor,Clay,2nd Round,5,Federer R.,Falla A.,Federer R.,1,139,7010,309,1.0,17.0,6-1 6-4 6-3   
French Open,2006-06-01,Grand Slam,Outdoor,Clay,2nd Round,5,Gonzalez F.,Djokovic N.,Djokovic N.,9,63,1780,627,1.22,4.0,4-6 1-6 6-3 6-4 1-6 
French Open,2006-06-02,Grand Slam,Outdoor,Clay,2nd Round,5,Nadal R.,Kim K.,Nadal R.,2,116,4545,370,1.0,17.0,6-2 6-1 6-4   
French Open,2006-06-02,Grand Slam,Outdoor,Clay,3rd Round,5,Massu N.,Federer R.,Federer R.,35,1,885,7010,12.0,1.01,1-6 2-6 7-6 5-7  
French Open,2006-06-03,Grand Slam,Outdoor,Clay,3rd Round,5,Djokovic N.,Haas T.,Djokovic N.,63,25,627,1250,1.61,2.2,7-5 6-1 7-6   
French Open,2006-06-03,Grand Slam,Outdoor,Clay,3rd Round,5,Mathieu P.H.,Nadal R.,Nadal R.,32,2,920,4545,11.0,1.02,7-5 4-6 4-6 4-6  
French Open,2006-06-04,Grand Slam,Outdoor,Clay,4th Round,5,Federer R.,Berdych T.,Federer R.,1,20,7010,1390,1.06,8.0,6-3 6-2 6-3   
French Open,2006-06-05,Grand Slam,Outdoor,Clay,4th Round,5,Monfils G.,Djokovic N.,Djokovic N.,28,63,1100,627,2.25,1.57,6-7 6-7 3-6   
French Open,2006-06-05,Grand Slam,Outdoor,Clay,4th Round,5,Nadal R.,Hewitt L.,Nadal R.,2,14,4545,1580,1.05,8.5,6-2 5-7 6-4 6-2  
French Open,2006-06-06,Grand Slam,Outdoor,Clay,Quarterfinals,5,Ancic M.,Federer R.,Federer R.,12,1,1710,7010,9.0,1.04,4-6 3-6 4-6   
French Open,2006-06-07,Grand Slam,Outdoor,Clay,Quarterfinals,5,Nadal R.,Djokovic N.,Nadal R.,2,63,4545,627,1.04,11.0,6-4 6-4    
French Open,2006-06-09,Grand Slam,Outdoor,Clay,Semifinals,5,Nalbandian D.,Federer R.,Federer R.,3,1,3065,7010,4.5,1.19,6-3 4-6 2-5   
French Open,2006-06-09,Grand Slam,Outdoor,Clay,Semifinals,5,Nadal R.,Ljubicic I.,Nadal R.,2,4,4545,2610,1.06,8.5,6-4 6-2 7-6   
French Open,2006-06-11,Grand Slam,Outdoor,Clay,The Final,5,Federer R.,Nadal R.,Nadal R.,1,2,7010,4545,2.25,1.61,6-1 1-6 4-6 6-7  
Gerry Weber Open,2006-06-14,International,Outdoor,Grass,1st Round,3,Federer R.,Bopanna R.,Federer R.,1,267,7035,134,1.0,17.0,7-6 6-2    
Gerry Weber Open,2006-06-15,International,Outdoor,Grass,2nd Round,3,Gasquet R.,Federer R.,Federer R.,51,1,745,7035,8.5,1.05,6-7 7-6 4-6   
Gerry Weber Open,2006-06-16,International,Outdoor,Grass,Quarterfinals,3,Federer R.,Rochus O.,Federer R.,1,29,7035,1120,1.03,10.0,6-7 7-6 7-6   
Gerry Weber Open,2006-06-17,International,Outdoor,Grass,Semifinals,3,Haas T.,Federer R.,Federer R.,26,1,1175,7035,6.5,1.1,4-6 7-6 3-6   
Gerry Weber Open,2006-06-18,International,Outdoor,Grass,The Final,3,Federer R.,Berdych T.,Federer R.,1,15,7035,1505,1.08,7.0,6-0 6-7 6-2   
Stella Artois,2006-06-14,International,Outdoor,Grass,2nd Round,3,Fish M.,Nadal R.,Nadal R.,86,2,461,4545,1.72,2.0,6-7 1-6    
Stella Artois,2006-06-15,International,Outdoor,Grass,3rd Round,3,Nadal R.,Verdasco F.,Nadal R.,2,30,4545,1035,1.25,3.75,2-6 7-6 7-6   
Stella Artois,2006-06-16,International,Outdoor,Grass,Quarterfinals,3,Nadal R.,Hewitt L.,Hewitt L.,2,13,4545,1690,2.25,1.57,6-3 3-6    
Ordina Open,2006-06-18,International,Outdoor,Grass,1st Round,3,Djokovic N.,Waske A.,Djokovic N.,40,89,827,455,1.53,2.37,6-7 7-6 7-6   
Ordina Open,2006-06-21,International,Outdoor,Grass,2nd Round,3,Djokovic N.,Hernych J.,Hernych J.,40,128,827,333,1.39,2.75,2-6 4-6    
Wimbledon,2006-06-27,Grand Slam,Outdoor,Grass,1st Round,5,Federer R.,Gasquet R.,Federer R.,1,50,7260,760,1.05,9.0,6-3 6-2 6-2   
Wimbledon,2006-06-27,Grand Slam,Outdoor,Grass,1st Round,5,Goldstein P.,Djokovic N.,Djokovic N.,65,39,611,841,2.75,1.39,3-6 2-6 6-7   
Wimbledon,2006-06-27,Grand Slam,Outdoor,Grass,1st Round,5,Nadal R.,Bogdanovic A.,Nadal R.,2,135,4545,318,1.04,10.0,6-4 7-6 6-4   
Wimbledon,2006-06-28,Grand Slam,Outdoor,Grass,2nd Round,5,Henman T.,Federer R.,Federer R.,64,1,615,7260,11.0,1.03,4-6 0-6 2-6   
Wimbledon,2006-06-29,Grand Slam,Outdoor,Grass,2nd Round,5,Nadal R.,Kendrick R.,Nadal R.,2,237,4545,163,1.04,10.0,6-7 3-6 7-6 7-5 6-4 
Wimbledon,2006-06-29,Grand Slam,Outdoor,Grass,2nd Round,5,Robredo T.,Djokovic N.,Djokovic N.,8,39,1920,841,2.0,1.72,6-7 2-6 4-6   
Wimbledon,2006-06-30,Grand Slam,Outdoor,Grass,3rd Round,5,Djokovic N.,Youzhny M.,Djokovic N.,39,41,841,830,1.44,2.62,4-6 6-2 6-3 6-3  
Wimbledon,2006-06-30,Grand Slam,Outdoor,Grass,3rd Round,5,Mahut N.,Federer R.,Federer R.,77,1,530,7260,15.0,1.0,3-6 6-7 4-6   
Wimbledon,2006-07-01,Grand Slam,Outdoor,Grass,3rd Round,5,Nadal R.,Agassi A.,Nadal R.,2,20,4545,1330,1.39,2.75,7-6 6-2 6-4   
Wimbledon,2006-07-03,Grand Slam,Outdoor,Grass,4th Round,5,Djokovic N.,Ancic M.,Ancic M.,39,10,841,1885,3.0,1.36,4-6 6-4 6-4 5-7 3-6 
Wimbledon,2006-07-03,Grand Slam,Outdoor,Grass,4th Round,5,Federer R.,Berdych T.,Federer R.,1,14,7260,1635,1.01,13.0,6-3 6-3 6-4   
Wimbledon,2006-07-03,Grand Slam,Outdoor,Grass,4th Round,5,Labadze I.,Nadal R.,Nadal R.,166,2,249,4545,9.0,1.05,3-6 6-7 3-6   
Wimbledon,2006-07-05,Grand Slam,Outdoor,Grass,Quarterfinals,5,Federer R.,Ancic M.,Federer R.,1,10,7260,1885,1.05,9.0,6-4 6-4 6-4   
Wimbledon,2006-07-06,Grand Slam,Outdoor,Grass,Quarterfinals,5,Nieminen J.,Nadal R.,Nadal R.,18,2,1390,4545,4.0,1.25,3-6 4-6 4-6   
Wimbledon,2006-07-07,Grand Slam,Outdoor,Grass,Semifinals,5,Federer R.,Bjorkman J.,Federer R.,1,59,7260,638,1.0,26.0,6-2 6-0 6-2   
Wimbledon,2006-07-07,Grand Slam,Outdoor,Grass,Semifinals,5,Baghdatis M.,Nadal R.,Nadal R.,16,2,1494,4545,2.87,1.39,1-6 5-7 3-6   
Wimbledon,2006-07-09,Grand Slam,Outdoor,Grass,The Final,5,Federer R.,Nadal R.,Federer R.,1,2,7260,4545,1.16,5.0,6-0 7-6 6-7 6-3  
Dutch Open,2006-07-17,International,Outdoor,Clay,1st Round,3,Pashanski B.,Djokovic N.,Djokovic N.,73,36,537,901,4.5,1.16,0-6 3-6    
Dutch Open,2006-07-20,International,Outdoor,Clay,2nd Round,3,Djokovic N.,Zib T.,Djokovic N.,36,127,901,355,1.1,6.5,6-4 6-2    
Dutch Open,2006-07-21,International,Outdoor,Clay,Quarterfinals,3,Gicquel M.,Djokovic N.,Djokovic N.,87,36,481,901,6.0,1.11,3-6 4-6    
Dutch Open,2006-07-22,International,Outdoor,Clay,Semifinals,3,Djokovic N.,Coria G.,Djokovic N.,36,28,901,1035,1.57,2.25,6-2 1-0    
Dutch Open,2006-07-23,International,Outdoor,Clay,The Final,3,Massu N.,Djokovic N.,Djokovic N.,37,36,890,901,2.2,1.61,6-7 4-6    
Croatia Open,2006-07-25,International,Outdoor,Clay,1st Round,3,Djokovic N.,Belic L.,Djokovic N.,28,1543,1071,1,1.03,10.0,6-3 6-3    
Croatia Open,2006-07-27,International,Outdoor,Clay,2nd Round,3,Ianni S.,Djokovic N.,Djokovic N.,559,28,43,1071,12.0,1.02,3-6 4-6    
Croatia Open,2006-07-29,International,Outdoor,Clay,Quarterfinals,3,Djokovic N.,Vanek J.,Djokovic N.,28,110,1071,389,1.1,6.5,6-1 3-6 7-5   
Croatia Open,2006-07-29,International,Outdoor,Clay,Semifinals,3,Moya C.,Djokovic N.,Djokovic N.,42,28,830,1071,2.1,1.66,1-6 5-7    
Rogers Masters,2006-08-08,Masters,Outdoor,Hard,1st Round,3,Nadal R.,Massu N.,Nadal R.,2,38,4930,900,1.04,10.0,6-3 6-2    
Rogers Masters,2006-08-09,Masters,Outdoor,Hard,1st Round,3,Mathieu P.H.,Federer R.,Federer R.,36,1,910,7260,12.0,1.02,3-6 4-6    
Rogers Masters,2006-08-09,Masters,Outdoor,Hard,2nd Round,3,Federer R.,Grosjean S.,Federer R.,1,33,7260,990,1.01,15.0,6-3 6-3    
Rogers Masters,2006-08-10,Masters,Outdoor,Hard,2nd Round,3,Lee H.T.,Nadal R.,Nadal R.,85,2,487,4930,13.0,1.02,4-6 3-6    
Rogers Masters,2006-08-10,Masters,Outdoor,Hard,3rd Round,3,Berdych T.,Nadal R.,Berdych T.,14,2,1600,4930,6.0,1.12,6-1 3-6 6-2   
Rogers Masters,2006-08-11,Masters,Outdoor,Hard,3rd Round,3,Tursunov D.,Federer R.,Federer R.,27,1,1095,7260,12.0,1.02,3-6 7-5 0-6   
Rogers Masters,2006-08-12,Masters,Outdoor,Hard,Quarterfinals,3,Federer R.,Malisse X.,Federer R.,1,41,7260,876,1.02,12.0,7-6 6-7 6-3   
Rogers Masters,2006-08-13,Masters,Outdoor,Hard,Semifinals,3,Gonzalez F.,Federer R.,Federer R.,16,1,1480,7260,10.0,1.04,1-6 7-5 3-6   
Rogers Masters,2006-08-13,Masters,Outdoor,Hard,The Final,3,Federer R.,Gasquet R.,Federer R.,1,51,7260,775,1.1,6.5,2-6 6-3 6-2   
Western & Southern Financial Group Masters,2006-08-15,Masters,Outdoor,Hard,1st Round,3,Querrey S.,Nadal R.,Nadal R.,178,2,229,4505,12.0,1.02,7-6 2-6 3-6   
Western & Southern Financial Group Masters,2006-08-15,Masters,Outdoor,Hard,1st Round,3,Djokovic N.,Nieminen J.,Djokovic N.,24,15,1168,1680,1.72,2.0,7-6 6-4    
Western & Southern Financial Group Masters,2006-08-16,Masters,Outdoor,Hard,1st Round,3,Srichaphan P.,Federer R.,Federer R.,45,1,820,7760,15.0,1.01,5-7 4-6    
Western & Southern Financial Group Masters,2006-08-16,Masters,Outdoor,Hard,2nd Round,3,Nadal R.,Lee H.T.,Nadal R.,2,73,4505,532,1.01,12.0,6-4 6-3    
Western & Southern Financial Group Masters,2006-08-16,Masters,Outdoor,Hard,2nd Round,3,Federer R.,Murray A.,Murray A.,1,21,7760,1210,1.04,9.0,5-7 4-6    
Western & Southern Financial Group Masters,2006-08-16,Masters,Outdoor,Hard,2nd Round,3,Serra F.,Djokovic N.,Serra F.,52,24,755,1168,3.5,1.28,6-4 6-4    
Western & Southern Financial Group Masters,2006-08-17,Masters,Outdoor,Hard,3rd Round,3,Haas T.,Nadal R.,Nadal R.,17,2,1455,4505,3.39,1.3,6-7 3-6    
Western & Southern Financial Group Masters,2006-08-18,Masters,Outdoor,Hard,Quarterfinals,3,Ferrero J.C.,Nadal R.,Ferrero J.C.,31,2,1015,4505,5.5,1.12,7-6 7-6    
US Open,2006-08-28,Grand Slam,Outdoor,Hard,1st Round,5,Young D.,Djokovic N.,Djokovic N.,577,23,40,1183,11.0,1.03,6-4 3-6 0-6 1-6  
US Open,2006-08-30,Grand Slam,Outdoor,Hard,1st Round,5,Nadal R.,Philippoussis M.,Nadal R.,2,113,4625,381,1.06,8.0,6-4 6-4 6-4   
US Open,2006-08-30,Grand Slam,Outdoor,Hard,1st Round,5,Wang Y.T.,Federer R.,Federer R.,109,1,394,7295,26.0,1.0,4-6 1-6 0-6   
US Open,2006-08-31,Grand Slam,Outdoor,Hard,2nd Round,5,Nadal R.,Horna L.,Nadal R.,2,61,4625,642,1.01,15.0,6-4 4-6 6-4 6-2  
US Open,2006-08-31,Grand Slam,Outdoor,Hard,2nd Round,5,Fish M.,Djokovic N.,Djokovic N.,60,23,651,1183,2.37,1.53,6-7 4-6 6-3 6-7  
US Open,2006-09-01,Grand Slam,Outdoor,Hard,2nd Round,5,Federer R.,Henman T.,Federer R.,1,62,7295,640,1.01,15.0,6-3 6-4 7-5   
US Open,2006-09-03,Grand Slam,Outdoor,Hard,3rd Round,5,Djokovic N.,Hewitt L.,Hewitt L.,23,17,1183,1515,2.1,1.66,3-6 1-6 2-6   
US Open,2006-09-03,Grand Slam,Outdoor,Hard,3rd Round,5,Nadal R.,Moodie W.,Nadal R.,2,82,4625,495,1.03,11.0,6-4 7-6 7-6   
US Open,2006-09-04,Grand Slam,Outdoor,Hard,3rd Round,5,Spadea V.,Federer R.,Federer R.,84,1,490,7295,15.0,1.01,3-6 3-6 0-6   
US Open,2006-09-04,Grand Slam,Outdoor,Hard,4th Round,5,Nadal R.,Novak J.,Nadal R.,2,179,4625,226,1.04,9.0,6-1 7-6 6-4   
US Open,2006-09-06,Grand Slam,Outdoor,Hard,4th Round,5,Gicquel M.,Federer R.,Federer R.,79,1,504,7295,15.0,1.01,3-6 6-7 3-6   
US Open,2006-09-06,Grand Slam,Outdoor,Hard,Quarterfinals,5,Youzhny M.,Nadal R.,Youzhny M.,54,2,745,4625,5.5,1.12,6-3 5-7 7-6 6-1  
US Open,2006-09-08,Grand Slam,Outdoor,Hard,Quarterfinals,5,Blake J.,Federer R.,Federer R.,7,1,2085,7295,7.0,1.08,6-7 0-6 7-6 4-6  
US Open,2006-09-09,Grand Slam,Outdoor,Hard,Semifinals,5,Federer R.,Davydenko N.,Federer R.,1,6,7295,2175,1.05,10.0,6-1 7-5 6-4   
US Open,2006-09-10,Grand Slam,Outdoor,Hard,The Final,5,Roddick A.,Federer R.,Federer R.,10,1,1890,7295,6.0,1.12,2-6 6-4 5-7 1-6  
Open de Moselle,2006-10-03,International,Indoor,Hard,1st Round,3,Djokovic N.,Mahut N.,Djokovic N.,22,67,1183,591,1.25,3.5,6-2 6-3    
Open de Moselle,2006-10-05,International,Indoor,Hard,2nd Round,3,Bracciali D.,Djokovic N.,Djokovic N.,66,22,601,1183,4.33,1.19,0-6 3-6    
Open de Moselle,2006-10-06,International,Indoor,Hard,Quarterfinals,3,Djokovic N.,Clemens T.,Djokovic N.,22,265,1183,149,1.07,7.5,6-4 6-1    
Open de Moselle,2006-10-07,International,Indoor,Hard,Semifinals,3,Grosjean S.,Djokovic N.,Djokovic N.,35,22,910,1183,2.5,1.5,7-6 6-7 3-6   
Open de Moselle,2006-10-08,International,Indoor,Hard,The Final,3,Djokovic N.,Melzer J.,Djokovic N.,22,48,1183,755,1.33,3.25,4-6 6-3 6-2   
Japan Open,2006-10-04,International Gold,Outdoor,Hard,2nd Round,3,Troicki V.,Federer R.,Federer R.,276,1,145,7120,17.0,1.0,6-7 6-7    
Japan Open,2006-10-05,International Gold,Outdoor,Hard,3rd Round,3,Federer R.,Moodie W.,Federer R.,1,73,7120,550,1.01,12.0,6-2 6-1    
Japan Open,2006-10-06,International Gold,Outdoor,Hard,Quarterfinals,3,Suzuki T.,Federer R.,Federer R.,1078,1,6,7120,17.0,1.0,6-4 5-7 6-7   
Japan Open,2006-10-07,International Gold,Outdoor,Hard,Semifinals,3,Federer R.,Becker B.,Federer R.,1,72,7120,553,1.02,11.0,6-3 6-4    
Japan Open,2006-10-08,International Gold,Outdoor,Hard,The Final,3,Henman T.,Federer R.,Federer R.,55,1,685,7120,10.0,1.04,3-6 3-6    
Stockholm Open,2006-10-10,International,Indoor,Hard,1st Round,3,Nadal R.,Sluiter R.,Nadal R.,2,90,4625,453,1.02,11.0,6-4 6-2    
Stockholm Open,2006-10-11,International,Indoor,Hard,2nd Round,3,Nadal R.,Johansson J.,Johansson J.,2,690,4625,27,1.19,4.33,4-6 6-7    
BA-CA Tennis Trophy,2006-10-11,International Gold,Indoor,Hard,1st Round,3,Djokovic N.,Zib T.,Djokovic N.,16,146,1350,310,1.08,6.5,6-3 6-4    
BA-CA Tennis Trophy,2006-10-12,International Gold,Indoor,Hard,2nd Round,3,Djokovic N.,Wawrinka S.,Wawrinka S.,16,44,1350,803,1.36,3.0,3-6 3-6    
Madrid Masters,2006-10-17,Masters,Indoor,Hard,2nd Round,3,Federer R.,Massu N.,Federer R.,1,45,7370,795,1.01,17.0,6-3 6-2    
Madrid Masters,2006-10-18,Masters,Indoor,Hard,2nd Round,3,Gasquet R.,Djokovic N.,Djokovic N.,27,17,1045,1360,1.57,2.25,6-7 6-1 1-6   
Madrid Masters,2006-10-18,Masters,Indoor,Hard,2nd Round,3,Nadal R.,Fish M.,Nadal R.,2,54,4645,716,1.1,6.5,6-4 6-2    
Madrid Masters,2006-10-19,Masters,Indoor,Hard,3rd Round,3,Soderling R.,Federer R.,Federer R.,29,1,988,7370,11.0,1.03,6-7 6-7    
Madrid Masters,2006-10-19,Masters,Indoor,Hard,3rd Round,3,Nadal R.,Haas T.,Nadal R.,2,13,4645,1700,1.16,4.5,6-4 6-3    
Madrid Masters,2006-10-19,Masters,Indoor,Hard,3rd Round,3,Murray A.,Djokovic N.,Djokovic N.,19,17,1295,1360,1.66,2.1,6-1 5-7 3-6   
Madrid Masters,2006-10-20,Masters,Indoor,Hard,Quarterfinals,3,Federer R.,Ginepri R.,Federer R.,1,47,7370,775,1.02,12.0,6-3 7-6    
Madrid Masters,2006-10-20,Masters,Indoor,Hard,Quarterfinals,3,Nadal R.,Berdych T.,Berdych T.,2,11,4645,1860,1.36,3.0,3-6 6-7    
Madrid Masters,2006-10-20,Masters,Indoor,Hard,Quarterfinals,3,Gonzalez F.,Djokovic N.,Gonzalez F.,10,17,1965,1360,2.1,1.66,7-5 5-7 7-5   
Madrid Masters,2006-10-21,Masters,Indoor,Hard,Semifinals,3,Nalbandian D.,Federer R.,Federer R.,4,1,2900,7370,7.0,1.1,4-6 0-6    
Madrid Masters,2006-10-22,Masters,Indoor,Hard,The Final,5,Federer R.,Gonzalez F.,Federer R.,1,10,7370,1965,1.05,10.0,7-5 6-1 6-0   
Davidoff Swiss Indoors,2006-10-24,International,Indoor,Carpet,1st Round,3,Zib T.,Federer R.,Federer R.,151,1,300,7870,15.0,1.01,1-6 2-6    
Davidoff Swiss Indoors,2006-10-26,International,Indoor,Carpet,2nd Round,3,Federer R.,Garcia-Lopez G.,Federer R.,1,75,7870,522,1.0,17.0,6-2 6-0    
Davidoff Swiss Indoors,2006-10-27,International,Indoor,Carpet,Quarterfinals,3,Ferrer D.,Federer R.,Federer R.,15,1,1555,7870,13.0,1.01,3-6 6-7    
Davidoff Swiss Indoors,2006-10-28,International,Indoor,Carpet,Semifinals,3,Federer R.,Srichaphan P.,Federer R.,1,54,7870,710,1.01,13.0,6-4 3-6 7-6   
Davidoff Swiss Indoors,2006-10-29,International,Indoor,Carpet,The Final,5,Gonzalez F.,Federer R.,Federer R.,7,1,2190,7870,9.0,1.04,3-6 2-6 6-7   
BNP Paribas,2006-11-01,Masters,Indoor,Carpet,2nd Round,3,Mathieu P.H.,Djokovic N.,Mathieu P.H.,54,16,723,1465,3.39,1.3,7-6 7-6    
Masters Cup,2006-11-12,Masters Cup,Indoor,Hard,Round Robin,3,Nalbandian D.,Federer R.,Federer R.,7,1,2195,7620,9.0,1.06,6-3 1-6 1-6   
Masters Cup,2006-11-13,Masters Cup,Indoor,Hard,Round Robin,3,Blake J.,Nadal R.,Blake J.,8,2,2130,4270,2.37,1.53,6-4 7-6    
Masters Cup,2006-11-14,Masters Cup,Indoor,Hard,Round Robin,3,Roddick A.,Federer R.,Federer R.,5,1,2315,7620,8.0,1.06,6-4 6-7 4-6   
